Product,Firm,Plan,Family,Profile,Weight,Phase1,Funded,P_pay,P_yr1,E_payout_100k,E_payout_if_paid,Avg_days
5ers Hyper Growth,The5ers,Hyper Growth,1-step,Semi-skilled,0.22,0.472,0.386,0.386,0.117,205.30293934581718,531.87289985963,89.748
5ers Hyper Growth,The5ers,Hyper Growth,1-step,Average,0.26,0.101,0.071,0.071,0.026,49.14354731105151,692.1626381838241,63.366
5ers Hyper Growth,The5ers,Hyper Growth,1-step,Aggressive,0.28,0.033,0.001,0.001,0.0,1.5772140295469144,1577.2140295469144,7.901
5ers Hyper Growth,The5ers,Hyper Growth,1-step,Lottery,0.17,0.035,0.005,0.005,0.0,11.690844595679883,2338.1689191359765,4.822
5ers Bootcamp,The5ers,Bootcamp,3-step,Pro,0.07,0.695,0.296,0.296,0.094,145.93802068759294,493.0338536743005,122.106
5ers Bootcamp,The5ers,Bootcamp,3-step,Semi-skilled,0.22,0.534,0.112,0.112,0.029,60.09778745384992,536.5873879808029,105.715
5ers Bootcamp,The5ers,Bootcamp,3-step,Average,0.26,0.218,0.004,0.004,0.001,1.4691623165571,367.290579139275,62.232
5ers Bootcamp,The5ers,Bootcamp,3-step,Aggressive,0.28,0.075,0.0,0.0,0.0,0.0,0.0,7.837
5ers Bootcamp,The5ers,Bootcamp,3-step,Lottery,0.17,0.047,0.0,0.0,0.0,0.0,0.0,2.761
FP Zero,FundingPips,Zero,instant,Pro,0.07,0.65,0.65,0.65,0.23,3254.3188326715763,5006.644357956271,57.621
FP Zero,FundingPips,Zero,instant,Semi-skilled,0.22,0.412,0.412,0.412,0.13,2150.0588492990883,5218.589440046329,61.707
FP Zero,FundingPips,Zero,instant,Average,0.26,0.066,0.066,0.066,0.022,468.1894847542695,7093.780072034385,52.248
FP Zero,FundingPips,Zero,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,2.747
FP Zero,FundingPips,Zero,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.182
FP 1-Step Flex,FundingPips,1-Step Flex,1-step,Pro,0.07,0.882,0.768,0.768,0.238,589.1744659194038,767.1542524992237,106.533
FP 1-Step Flex,FundingPips,1-Step Flex,1-step,Semi-skilled,0.22,0.563,0.476,0.476,0.154,384.08383853525146,806.8988204522091,130.788
FP 1-Step Flex,FundingPips,1-Step Flex,1-step,Average,0.26,0.07,0.049,0.049,0.018,57.091922102378604,1165.141267395482,67.717
FP 1-Step Flex,FundingPips,1-Step Flex,1-step,Aggressive,0.28,0.009,0.001,0.001,0.0,2.1068355805266012,2106.8355805266015,1.623
FP 1-Step Flex,FundingPips,1-Step Flex,1-step,Lottery,0.17,0.011,0.0,0.0,0.0,0.0,0.0,1.296
FP 2-Step Standard,FundingPips,2-Step Standard,2-step,Pro,0.07,0.878,0.652,0.652,0.208,715.3569276054632,1097.1732018488701,115.043
FP 2-Step Standard,FundingPips,2-Step Standard,2-step,Semi-skilled,0.22,0.592,0.327,0.327,0.109,324.4835038910048,992.3042932446631,117.633
FP 2-Step Standard,FundingPips,2-Step Standard,2-step,Average,0.26,0.184,0.031,0.031,0.011,48.143958145632496,1553.0309079236283,69.253
FP 2-Step Standard,FundingPips,2-Step Standard,2-step,Aggressive,0.28,0.01,0.0,0.0,0.0,0.0,0.0,1.95
FP 2-Step Standard,FundingPips,2-Step Standard,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.338
FP 2-Step Flex,FundingPips,2-Step Flex,2-step,Pro,0.07,0.887,0.725,0.725,0.236,499.38434905575207,688.8059986975891,116.454
FP 2-Step Flex,FundingPips,2-Step Flex,2-step,Semi-skilled,0.22,0.614,0.379,0.379,0.126,267.92736168403445,706.9323527283232,129.919
FP 2-Step Flex,FundingPips,2-Step Flex,2-step,Average,0.26,0.176,0.036,0.036,0.013,37.62227789885051,1045.0632749680697,77.773
FP 2-Step Flex,FundingPips,2-Step Flex,2-step,Aggressive,0.28,0.011,0.0,0.0,0.0,0.0,0.0,1.866
FP 2-Step Flex,FundingPips,2-Step Flex,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.255
FP 2-Step Pro,FundingPips,2-Step Pro,2-step,Pro,0.07,0.812,0.536,0.536,0.181,565.9701743720681,1055.9145044255001,104.939
FP 2-Step Pro,FundingPips,2-Step Pro,2-step,Semi-skilled,0.22,0.568,0.243,0.243,0.073,264.61927126041036,1088.9681944872855,97.085
FP 2-Step Pro,FundingPips,2-Step Pro,2-step,Average,0.26,0.219,0.03,0.03,0.009,37.6092772450599,1253.64257483533,56.082
FP 2-Step Pro,FundingPips,2-Step Pro,2-step,Aggressive,0.28,0.068,0.0,0.0,0.0,0.0,0.0,1.89
FP 2-Step Pro,FundingPips,2-Step Pro,2-step,Lottery,0.17,0.041,0.0,0.0,0.0,0.0,0.0,1.269
E8 One 6%,E8 Markets,E8 One 6%,1-step,Pro,0.07,0.575,0.421,0.421,0.141,913.775966243791,2170.489230982877,87.011
E8 One 6%,E8 Markets,E8 One 6%,1-step,Semi-skilled,0.22,0.334,0.198,0.198,0.065,456.20404364868233,2304.0608265084957,85.879
E8 One 6%,E8 Markets,E8 One 6%,1-step,Average,0.26,0.084,0.027,0.027,0.01,86.19724808328326,3192.490669751231,56.299
E8 One 6%,E8 Markets,E8 One 6%,1-step,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,2.691
E8 One 6%,E8 Markets,E8 One 6%,1-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.49
E8 Signature,E8 Markets,Signature,1-step,Pro,0.07,0.519,0.35,0.35,0.12,784.9345211284115,2242.67006036689,79.962
E8 Signature,E8 Markets,Signature,1-step,Semi-skilled,0.22,0.326,0.174,0.174,0.049,404.6994806608747,2325.859084257901,68.887
E8 Signature,E8 Markets,Signature,1-step,Average,0.26,0.075,0.013,0.013,0.004,32.67019788384218,2513.092144910937,16.722
E8 Signature,E8 Markets,Signature,1-step,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,10.783
E8 Signature,E8 Markets,Signature,1-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,2.961
Alpha Instant,Alpha Capital,Instant,instant,Pro,0.07,0.604,0.604,0.604,0.2,2994.3671149866973,4957.561448653473,55.758
Alpha Instant,Alpha Capital,Instant,instant,Semi-skilled,0.22,0.36,0.36,0.36,0.116,1928.024807167615,5355.624464354486,61.501
Alpha Instant,Alpha Capital,Instant,instant,Average,0.26,0.031,0.031,0.031,0.009,215.85989426742478,6963.222395723379,50.931
Alpha Instant,Alpha Capital,Instant,instant,Aggressive,0.28,0.0,0.0,0.0,0.0,0.0,0.0,3.538
Alpha Instant,Alpha Capital,Instant,instant,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.188
Alpha One 10%,Alpha Capital,One 10%,1-step,Pro,0.07,0.503,0.37,0.37,0.125,766.1751133563406,2070.743549611731,88.066
Alpha One 10%,Alpha Capital,One 10%,1-step,Semi-skilled,0.22,0.271,0.17,0.17,0.051,377.21361631203706,2218.9036253649238,76.669
Alpha One 10%,Alpha Capital,One 10%,1-step,Average,0.26,0.066,0.024,0.024,0.005,73.76340779429304,3073.47532476221,54.584
