Family,Firm,Plan,Size,BE,Street,Street_rank,Street_n,px_40,px_60,P_pay,rank_at_40,n_at_40,rank_at_60,n_at_60
2-step,FXIFY,2-Step,100000,68.2,399.0,11,23,113.66,170.49,0.08897,,,,
2-step,Funding Traders,2-Step,100000,168.65,399.0,11,23,281.08,421.62,0.13016,,,,
2-step,Goat Funded,2-Step Standard,100000,157.98,399.0,11,23,263.3,394.94,0.12901,,,,
2-step,The Funded Trader,Standard,100000,166.81,399.0,11,23,278.02,417.04,0.12943,,,,
2-step,FundingPips,2-Step Pro,100000,107.29,422.0,15,23,178.82,268.24,0.09872,,,,
2-step,Fintokei,ProTrader,100000,163.53,423.0,16,23,272.56,408.83,0.12581,,,,
2-step,City Traders Imperium,2-Step,100000,143.01,439.0,17,23,238.34,357.51,0.11312,,,,
2-step,FundedNext,Stellar Lite,100000,101.96,449.0,18,23,169.93,254.89,0.11968,,,,
2-step,Hola Prime,2-Step Prime,100000,147.48,455.0,19,23,245.8,368.7,0.12337,,,,
2-step,FundingPips,2-Step Standard,100000,140.49,544.0,20,23,234.15,351.22,0.12593,,,,
2-step,FundedNext,Stellar 2-Step,100000,103.91,550.0,21,23,173.19,259.78,0.12866,,,,
2-step,FundingPips,2-Step Flex,100000,103.74,555.0,22,23,172.89,259.34,0.14345,,,,
2-step,FTMO,2-Step,100000,105.1,626.0,23,23,175.17,262.76,0.12748,,,,
2-step,BrightFunded,2-Step,200000,325.54,238.0,1,12,542.56,813.84,0.12926,,,,
2-step,Verodus,2-Step Lite,200000,304.32,477.0,2,12,507.21,760.81,0.10616,2.0,11.0,7.0,11.0
2-step,Verodus,2-Step Pro,200000,301.23,577.0,3,12,502.04,753.06,0.11998,2.0,11.0,7.0,11.0
2-step,Alpha Capital,Pro 6%,200000,213.18,638.0,4,12,355.3,532.96,0.08958,,,,
2-step,FundingPips,2-Step Pro,200000,214.59,675.0,5,12,357.65,536.47,0.09872,,,,
2-step,Alpha Capital,Pro 10%,200000,254.06,718.0,6,12,423.43,635.14,0.11819,,,,
2-step,Hola Prime,2-Step Prime,200000,294.96,751.0,7,12,491.61,737.41,0.12337,,,,
2-step,The Funded Trader,Standard,200000,333.63,751.0,7,12,556.05,834.07,0.12943,,,,
2-step,FXIFY,2-Step,200000,136.39,799.0,9,12,227.32,340.99,0.08897,,,,
2-step,Fintokei,ProTrader,200000,327.07,799.0,9,12,545.11,817.67,0.12581,,,,
2-step,FundedNext,Stellar 2-Step,200000,207.83,1100.0,11,12,346.38,519.57,0.12866,,,,
2-step,FTMO,2-Step,200000,210.21,1253.0,12,12,350.34,525.51,0.12748,,,,
3-step,Maven,3-Step,5000,3.35,14.0,1,1,5.58,8.37,0.05089,,,,
3-step,Maven,3-Step,10000,6.7,26.0,1,1,11.16,16.74,0.05089,,,,
3-step,The5ers,Bootcamp,20000,4.87,22.0,1,1,8.11,12.17,0.04649,,,,
3-step,Maven,3-Step,25000,16.74,55.0,1,1,27.9,41.85,0.05089,,,,
3-step,Maven,3-Step,50000,33.48,103.0,1,1,55.8,83.7,0.05089,,,,
3-step,The5ers,Bootcamp,100000,24.34,95.0,1,2,40.56,60.85,0.04649,,,,
3-step,Maven,3-Step,100000,66.96,199.0,2,2,111.6,167.4,0.05089,,,,
instant,FundedNext,Stellar Instant,2000,27.12,59.0,1,1,45.2,67.8,0.53151,,,,
instant,FXIFY,Instant Lite,2500,16.99,19.0,1,1,28.32,42.48,0.15732,,,,
instant,FXIFY,Instant Lite,5000,33.99,39.0,1,10,56.65,84.97,0.15732,,,,
instant,Alpha Capital,Instant,5000,34.5,40.0,2,10,57.5,86.26,0.12954,,,,
instant,FundingPips,Zero,5000,41.45,48.0,3,10,69.08,103.63,0.15339,,,,
instant,Blue Guardian,Instant,5000,45.57,54.0,4,10,75.95,113.92,0.2206199999999999,,,,
instant,Goat Funded,Instant GOAT,5000,42.29,63.0,5,10,70.49,105.73,0.16626,,,,
instant,Verodus,Instant,5000,43.76,72.0,6,10,72.94,109.41,0.2207,6.0,10.0,10.0,10.0
instant,Hola Prime,Direct,5000,52.65,79.0,7,10,87.75,131.63,0.23775,,,,
instant,FXIFY,Instant Standard,5000,35.78,87.0,8,10,59.63,89.45,0.54162,,,,
instant,Instant Funding,Instant,5000,42.06,87.0,8,10,70.1,105.15,0.21449,,,,
instant,FundedNext,Stellar Instant,5000,67.8,99.0,10,10,113.01,169.51,0.53151,,,,
instant,Alpha Capital,Instant,10000,69.0,58.0,1,10,115.01,172.51,0.12954,,,,
instant,FundingPips,Zero,10000,82.9,70.0,2,10,138.17,207.25,0.15339,,,,
instant,Blue Guardian,Instant,10000,91.14,75.0,3,10,151.9,227.84,0.2206199999999999,,,,
instant,FXIFY,Instant Lite,10000,67.97,79.0,4,10,113.29,169.94,0.15732,,,,
instant,Goat Funded,Instant GOAT,10000,84.59,103.0,5,10,140.98,211.47,0.16626,,,,
instant,Hola Prime,Direct,10000,105.3,106.0,6,10,175.5,263.25,0.23775,,,,
instant,Verodus,Instant,10000,87.53,121.0,7,10,145.88,218.81,0.2207,9.0,10.0,10.0,10.0
instant,FXIFY,Instant Standard,10000,71.56,143.0,8,10,119.26,178.9,0.54162,,,,
instant,Instant Funding,Instant,10000,84.12,143.0,8,10,140.2,210.29,0.21449,,,,
instant,FundedNext,Stellar Instant,10000,135.61,199.0,10,10,226.01,339.02,0.53151,,,,
instant,FundedNext,Stellar Instant,20000,271.22,599.0,1,1,452.03,678.04,0.53151,,,,
instant,Alpha Capital,Instant,25000,172.51,118.0,1,9,287.52,431.28,0.12954,,,,
instant,FXIFY,Instant Lite,25000,169.94,149.0,2,9,283.23,424.84,0.15732,,,,
