Firm,Plan,Family,Size,List,Sale,Discount,Off,P_pay,E_payout,E_cost,BE,px_20,px_40,px_60,sale_m,list_m,Refund,Product
Maven,2-Step,2-step,50000,189.0,151.0,~20% promo,0.20105820105820105,0.12736,68.14035363616094,87.37171363616093,78.08529707114153,97.6066213389269,130.14216178523588,195.2132426778538,0.42137937989297397,0.5121090283801009,first,Maven 2-Step
Maven,2-Step,2-step,100000,349.0,279.0,~20% promo,0.20057306590257884,0.12736,136.28070727232188,171.81414727232186,156.17059414228305,195.2132426778538,260.28432357047177,390.4264853557076,0.3841786836117496,0.4821508674145505,first,Maven 2-Step
Maven,3-Step,3-step,5000,17.0,14.0,~20% promo,0.17647058823529416,0.050890000000000005,3.177578411068937,3.890038411068937,3.34795588611324,4.1849448576415496,5.5799264768554,8.369889715283099,0.7221401134950759,0.7621936228782978,first,Maven 3-Step
Maven,3-Step,3-step,10000,32.0,26.0,~20% promo,0.1875,0.050890000000000005,6.355156822137874,7.678296822137875,6.69591177222648,8.369889715283099,11.1598529537108,16.739779430566198,0.7046808914562356,0.7505113493081914,first,Maven 3-Step
Maven,3-Step,3-step,25000,69.0,55.0,~20% promo,0.2028985507246377,0.050890000000000005,15.887892055344684,18.686842055344684,16.739779430566198,20.924724288207745,27.899632384276998,41.84944857641549,0.6602392353573694,0.718850694850077,first,Maven 3-Step
Maven,3-Step,3-step,50000,129.0,103.0,~20% promo,0.20155038759689925,0.050890000000000005,31.77578411068937,37.01745411068937,33.479558861132396,41.84944857641549,55.799264768553996,83.69889715283098,0.6406072416437925,0.7027860921651987,first,Maven 3-Step
Maven,3-Step,3-step,100000,249.0,199.0,~20% promo,0.20080321285140568,0.050890000000000005,63.55156822137874,73.67867822137873,66.95911772226479,83.69889715283098,111.59852953710799,167.39779430566196,0.6297553858222175,0.6938828183880372,first,Maven 3-Step
Hola Prime,Direct,instant,5000,99.0,79.0,MATCH20,0.202020202020202,0.23775000000000002,46.01594373199861,55.970536231998615,52.65027300806199,65.81284126007748,87.75045501343665,131.62568252015495,0.2915121995949542,0.4091849875555696,quarter_x4,Hola Direct
Hola Prime,Direct,instant,10000,132.0,106.0,MATCH20,0.19696969696969702,0.23775000000000002,92.03188746399722,105.38868246399723,105.30054601612397,131.62568252015495,175.5009100268733,263.2513650403099,0.005767146566063892,0.17678123133335433,quarter_x4,Hola Direct
Hola Prime,Direct,instant,25000,369.0,295.0,MATCH20,0.20054200542005418,0.23775000000000002,230.07971865999303,267.25193115999303,263.2513650403099,329.06420630038735,438.7522750671832,658.1284126007747,0.09406125030510835,0.2504702272086909,quarter_x4,Hola Direct
Hola Prime,Direct,instant,50000,689.0,551.0,MATCH20,0.2002902757619739,0.23775000000000002,460.15943731998607,529.5895698199861,526.5027300806198,658.1284126007747,877.5045501343664,1316.2568252015494,0.03885740504539731,0.20612684351235688,quarter_x4,Hola Direct
Hola Prime,Direct,instant,100000,1049.0,839.0,MATCH20,0.20019065776930411,0.23775000000000002,920.3188746399721,1026.039167139972,1053.0054601612396,1316.2568252015494,1755.0091002687327,2632.513650403099,-0.22293106929674858,-0.003337218436579685,quarter_x4,Hola Direct
Hola Prime,1-Step Prime,1-step,5000,59.0,47.0,MATCH20,0.2033898305084746,0.13238000000000003,7.397482873205852,10.695068673205853,7.955663351904139,9.944579189880173,13.259438919840232,19.889158379760346,0.7724453473785988,0.8044575343524432,quarter_x4,Hola 1-Step Prime
Hola Prime,1-Step Prime,1-step,10000,89.0,71.0,MATCH20,0.202247191011236,0.13238000000000003,14.794965746411703,19.776425146411704,15.911326703808278,19.889158379760346,26.518877839680464,39.77831675952069,0.7214588007547648,0.7636030298155988,quarter_x4,Hola 1-Step Prime
Hola Prime,1-Step Prime,1-step,25000,169.0,135.0,MATCH20,0.20118343195266275,0.13238000000000003,36.987414366029256,46.45920336602926,39.77831675952069,49.722895949400865,66.29719459920116,99.44579189880173,0.6558577528442278,0.7109781599643239,quarter_x4,Hola 1-Step Prime
Hola Prime,1-Step Prime,1-step,50000,329.0,263.0,MATCH20,0.20060790273556228,0.13238000000000003,73.97482873205851,92.42727693205852,79.55663351904138,99.44579189880173,132.59438919840233,198.89158379760346,0.6485654869503478,0.7049910962551413,quarter_x4,Hola 1-Step Prime
Hola Prime,1-Step Prime,1-step,100000,579.0,463.0,MATCH20,0.20034542314335058,0.13238000000000003,147.94965746411702,180.43438566411703,159.11326703808277,198.89158379760346,265.18877839680465,397.7831675952069,0.6102929035332245,0.6743124213054974,quarter_x4,Hola 1-Step Prime
Hola Prime,1-Step Prime,1-step,200000,1049.0,839.0,MATCH20,0.20019065776930411,0.13238000000000003,295.89931492823405,354.76472952823406,318.22653407616554,397.7831675952069,530.3775567936093,795.5663351904138,0.5771576525289225,0.6477610833858589,quarter_x4,Hola 1-Step Prime
Hola Prime,2-Step Prime,2-step,5000,47.0,38.0,MATCH20,0.19148936170212771,0.12337,6.891933240600213,9.376605040600214,7.3740966623759965,9.217620827969995,12.290161103959994,18.43524165593999,0.7532472357736786,0.787977022540421,quarter_x4,Hola 2-Step Prime
Hola Prime,2-Step Prime,2-step,10000,69.0,55.0,MATCH20,0.2028985507246377,0.12337,13.783866481200427,17.380101981200426,14.748193324751993,18.43524165593999,24.580322207919988,36.87048331187998,0.6839981457963559,0.7348477191130374,quarter_x4,Hola 2-Step Prime
Hola Prime,2-Step Prime,2-step,25000,159.0,127.0,MATCH20,0.20125786163522008,0.12337,34.45966620300106,42.763700903001066,36.87048331187998,46.088104139849975,61.45080551979997,92.17620827969995,0.6632779456456609,0.7178864396037669,quarter_x4,Hola 2-Step Prime
Hola Prime,2-Step Prime,2-step,50000,319.0,255.0,MATCH20,0.20062695924764895,0.12337,68.91933240600213,85.59278790600213,73.74096662375996,92.17620827969995,122.90161103959994,184.3524165593999,0.6643420082117564,0.7185658360313413,quarter_x4,Hola 2-Step Prime
Hola Prime,2-Step Prime,2-step,100000,569.0,455.0,MATCH20,0.20035149384885764,0.12337,137.83866481200425,167.58934031200425,147.48193324751992,184.3524165593999,245.80322207919988,368.7048331187998,0.6316717795340566,0.692366685919149,quarter_x4,Hola 2-Step Prime
Hola Prime,2-Step Prime,2-step,200000,939.0,751.0,MATCH20,0.20021299254526093,0.12337,275.6773296240085,324.78229072400853,294.96386649503984,368.7048331187998,491.60644415839977,737.4096662375996,0.5675335676111737,0.6410278194632496,quarter_x4,Hola 2-Step Prime
FXIFY,2-Step,2-step,5000,59.0,47.0,~20% typical,0.2033898305084746,0.08897000000000001,3.1064801346719992,7.288070134671999,3.409854927578674,4.262318659473342,5.683091545964457,8.524637318946684,0.8449346779857022,0.8583777943275932,first,FXIFY 2-Step
FXIFY,2-Step,2-step,10000,89.0,71.0,~20% typical,0.202247191011236,0.08897000000000001,6.2129602693439985,12.529830269344,6.819709855157348,8.524637318946684,11.366183091928914,17.04927463789337,0.8235235173331831,0.8412214576478203,first,FXIFY 2-Step
FXIFY,2-Step,2-step,25000,189.0,151.0,~20% typical,0.20105820105820105,0.08897000000000001,15.532400673359994,28.966870673359995,17.04927463789337,21.31159329736671,28.415457729822283,42.62318659473342,0.808166419381722,0.8288479858552381,first,FXIFY 2-Step
