Plan,Size,Basis,P_pay_off,P_pay_on,P_yr1_off,P_yr1_on,E_off,E_on,BE_off,BE_on,BE_dlt,S_opex_off,S_opex_on,Locked,Rec,Changed,List,Left_off,Left_on,Loaded_on
1-Step,200000,first,0.08682500000000001,0.09356666666666667,0.024675000000000002,0.027991666666666665,209.1641080648524,248.57435754031937,229.05150498519168,274.2334691357916,45.181964150599924,364.697095008046,426.82229571512096,654,654,False,1006,231.4423239935632,181.74216342790328,341.45783657209677
2-Step Lite,5000,first,0.10094166666666667,0.11071666666666667,0.031033333333333333,0.03625833333333333,5.954406608440051,6.902766563683649,6.622936897057163,7.76216792212866,1.1392310250714974,37.934902473043906,39.50134513251722,42,42,False,65,3.2520780215648735,1.9989238939862233,31.601076106013778
2-Step Lite,10000,first,0.10094166666666667,0.11071666666666667,0.031033333333333333,0.03625833333333333,11.908813216880102,13.805533127367298,13.245873794114326,15.52433584425732,2.278462050142995,47.76446898244182,50.89735430138845,55,55,False,85,5.788424814046543,3.2821165588892427,40.71788344111076
2-Step Lite,25000,first,0.10094166666666667,0.11071666666666667,0.031033333333333333,0.03625833333333333,29.772033042200253,34.513832818418244,33.114684485285814,38.8108396106433,5.696155125357485,77.25316851063556,85.08538180800211,94,94,False,145,13.397465191491548,7.131694553598308,68.0683054464017
2-Step Lite,50000,first,0.10094166666666667,0.11071666666666667,0.031033333333333333,0.03625833333333333,59.544066084400505,69.02766563683649,66.22936897057163,77.6216792212866,11.39231025071497,126.40100105762514,142.0654276523582,149,149,False,229,18.079199153899893,5.5476578781134265,113.65234212188658
2-Step Lite,100000,first,0.10094166666666667,0.11071666666666667,0.031033333333333333,0.03625833333333333,119.08813216880101,138.05533127367298,132.45873794114326,155.2433584425732,22.78462050142994,224.69666615160426,256.02551934107044,269,269,False,414,35.442667078716596,10.379584527143663,204.82041547285635
2-Step Lite,200000,first,0.10094166666666667,0.11071666666666667,0.031033333333333333,0.03625833333333333,238.17626433760202,276.11066254734595,264.9174758822865,310.4867168851464,45.56924100285988,421.28799633956254,483.9457027184949,499,499,False,768,62.16960292835,12.043437825204137,387.1565621747959
2-Step Pro,5000,first,0.11626666666666667,0.12556666666666666,0.04033333333333333,0.036075,6.229546169866296,7.09057877206827,7.049124362401511,8.10876999054809,1.059645628146579,37.32185092312759,38.77886366182914,45,45,False,69,6.142519261497924,4.976909070536685,31.023090929463315
2-Step Pro,10000,first,0.11626666666666667,0.12556666666666666,0.04033333333333333,0.036075,12.459092339732592,14.18115754413654,14.098248724803023,16.21753998109618,2.119291256293158,47.70598918537642,50.62001466277952,59,59,False,91,9.035208651698866,6.703988269776389,40.496011730223614
2-Step Pro,25000,first,0.11626666666666667,0.12556666666666666,0.04033333333333333,0.036075,31.147730849331477,35.45289386034135,35.245621812007556,40.54384995274046,5.298228140732903,78.85840397212286,86.1434676656306,95,95,False,146,12.913276822301711,7.085225867495524,68.91477413250448
2-Step Pro,50000,first,0.11626666666666667,0.12556666666666666,0.04033333333333333,0.036075,62.295461698662955,70.9057877206827,70.49124362401511,81.08769990548092,10.596456281465805,130.77909528336693,145.3492226703824,159,159,False,245,22.576723773306455,10.920621863694066,116.27937813630594
2-Step Pro,100000,first,0.11626666666666667,0.12556666666666666,0.04033333333333333,0.036075,124.59092339732591,141.8115754413654,140.98248724803022,162.17539981096184,21.19291256293161,234.62047790585507,263.760732679886,289,289,False,445,43.50361767531595,20.191413856091174,211.00858614390884
