Kind,Plan,Size,Addon,Pct,List,Sticker,Sale,E,P_pay,BE,px_20,px_40,px_60,Cost,Sale_m
addon,2-Step Lite,10000,Weekly 70%,0.0600,85,5.00,3.2500,0.776217,0.000000,0.776217,0.970271,1.293695,1.940542,0.776217,0.761164
addon,2-Step Lite,10000,On Demand 90%,0.1500,85,13.00,8.4500,1.940542,0.000000,1.940542,2.425677,3.234237,4.851355,1.940542,0.770350
addon,2-Step Lite,25000,Weekend Holding,0.1500,177,27.00,17.5500,1.552434,0.000000,1.552434,1.940542,2.587389,3.881084,1.552434,0.911542
addon,2-Step Lite,25000,Weekly 70%,0.0600,177,11.00,7.1500,1.940542,0.000000,1.940542,2.425677,3.234237,4.851355,1.940542,0.728596
addon,2-Step Lite,25000,On Demand 90%,0.1500,177,27.00,17.5500,4.851355,0.000000,4.851355,6.064194,8.085592,12.128387,4.851355,0.723570
addon,2-Step Lite,50000,Weekend Holding,0.1500,260,39.00,25.3500,3.104867,0.000000,3.104867,3.881084,5.174779,7.762168,3.104867,0.877520
addon,2-Step Lite,50000,Weekly 70%,0.0600,260,16.00,10.4000,3.881084,0.000000,3.881084,4.851355,6.468473,9.702710,3.881084,0.626819
addon,2-Step Lite,50000,On Demand 90%,0.1500,260,39.00,25.3500,9.702710,0.000000,9.702710,12.128387,16.171183,24.256775,9.702710,0.617250
addon,2-Step Lite,100000,Weekend Holding,0.1500,475,71.00,46.1500,6.209734,0.000000,6.209734,7.762168,10.349557,15.524336,6.209734,0.865445
addon,2-Step Lite,100000,Weekly 70%,0.0600,475,29.00,18.8500,7.762168,0.000000,7.762168,9.702710,12.936947,19.405420,7.762168,0.588214
addon,2-Step Lite,100000,On Demand 90%,0.1500,475,71.00,46.1500,19.405420,0.000000,19.405420,24.256775,32.342366,48.513550,19.405420,0.579514
addon,2-Step Lite,200000,Weekend Holding,0.1500,922,138.00,89.7000,12.419469,0.000000,12.419469,15.524336,20.699114,31.048672,12.419469,0.861544
addon,2-Step Lite,200000,Weekly 70%,0.0600,922,55.00,35.7500,15.524336,0.000000,15.524336,19.405420,25.873893,38.810840,15.524336,0.565753
addon,2-Step Lite,200000,On Demand 90%,0.1500,922,138.00,89.7000,38.810840,0.000000,38.810840,48.513550,64.684733,97.027099,38.810840,0.567326
addon,2-Step Pro,5000,Weekend Holding,0.1500,69,10.00,6.5000,0.324351,0.000000,0.324351,0.405438,0.540585,0.810877,0.324351,0.950100
addon,2-Step Pro,5000,Weekly 70%,0.0600,69,4.00,2.6000,0.405438,0.000000,0.405438,0.506798,0.675731,1.013596,0.405438,0.844062
addon,2-Step Pro,5000,On Demand 90%,0.1500,69,10.00,6.5000,1.013596,0.000000,1.013596,1.266995,1.689327,2.533991,1.013596,0.844062
addon,2-Step Pro,10000,Weekend Holding,0.1500,91,14.00,9.1000,0.648702,0.000000,0.648702,0.810877,1.081169,1.621754,0.648702,0.928714
addon,2-Step Pro,10000,Weekly 70%,0.0600,91,5.00,3.2500,0.810877,0.000000,0.810877,1.013596,1.351462,2.027192,0.810877,0.750499
addon,2-Step Pro,10000,On Demand 90%,0.1500,91,14.00,9.1000,2.027192,0.000000,2.027192,2.533991,3.378654,5.067981,2.027192,0.777232
addon,2-Step Pro,25000,Weekend Holding,0.1500,192,29.00,18.8500,1.621754,0.000000,1.621754,2.027192,2.702923,4.054385,1.621754,0.913965
addon,2-Step Pro,25000,Weekly 70%,0.0600,192,12.00,7.8000,2.027192,0.000000,2.027192,2.533991,3.378654,5.067981,2.027192,0.740104
addon,2-Step Pro,25000,On Demand 90%,0.1500,192,29.00,18.8500,5.067981,0.000000,5.067981,6.334977,8.446635,12.669953,5.067981,0.731142
addon,2-Step Pro,50000,Weekend Holding,0.1500,306,46.00,29.9000,3.243508,0.000000,3.243508,4.054385,5.405847,8.108770,3.243508,0.891521
addon,2-Step Pro,50000,Weekly 70%,0.0600,306,18.00,11.7000,4.054385,0.000000,4.054385,5.067981,6.757308,10.135962,4.054385,0.653471
addon,2-Step Pro,50000,On Demand 90%,0.1500,306,46.00,29.9000,10.135962,0.000000,10.135962,12.669953,16.893271,25.339906,10.135962,0.661005
addon,2-Step Pro,100000,Weekend Holding,0.1500,537,81.00,52.6500,6.487016,0.000000,6.487016,8.108770,10.811693,16.217540,6.487016,0.876790
addon,2-Step Pro,100000,Weekly 70%,0.0600,537,32.00,20.8000,8.108770,0.000000,8.108770,10.135962,13.514617,20.271925,8.108770,0.610155
addon,2-Step Pro,100000,On Demand 90%,0.1500,537,81.00,52.6500,20.271925,0.000000,20.271925,25.339906,33.786542,50.679812,20.271925,0.614968
addon,2-Step Pro,200000,Weekend Holding,0.1500,1075,161.00,104.6500,12.974032,0.000000,12.974032,16.217540,21.623387,32.435080,12.974032,0.876025
addon,2-Step Pro,200000,Weekly 70%,0.0600,1075,65.00,42.2500,16.217540,0.000000,16.217540,20.271925,27.029233,40.543850,16.217540,0.616153
addon,2-Step Pro,200000,On Demand 90%,0.1500,1075,161.00,104.6500,40.543850,0.000000,40.543850,50.679812,67.573083,101.359625,40.543850,0.612577
