Plan,Size,Sale,List,BE,Rec_m,Chal_left,Combo,Keys,Sticker,Extra,Addon_left,Combined
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Swing + 90%,"('swing', 'split90')",236,72.41784733478293,50.30215266521708,63.681166491060196
Instant,100000,439,675,283.99155817561933,0.3530944005111177,13.379013825843117,Swing + 90% On Demand,"('swing', 'od90')",351,153.35544141483444,29.164558585165565,42.54357241100868
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Challenge only,(),0,0.0,0.0,107.85849848361082
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,News,"('news',)",62,2.37090917877979,29.86909082122021,137.72758930483104
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Weekend,"('weekend',)",62,4.74181835755958,27.49818164244042,135.35668012605123
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Swing,"('swing',)",103,7.11272753633937,46.44727246366063,154.30577094727144
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,Weekly 80%,"('weekly',)",41,5.927272946949476,15.392727053050528,123.25122553666134
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,On-demand 80%,"('od80',)",62,5.927272946949476,26.312727053050526,134.17122553666135
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,90% split,"('split90',)",62,14.818182367373687,17.421817632626315,125.28031611623713
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,90% On Demand,"('od90',)",103,14.818182367373687,38.741817632626315,146.60031611623714
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,News + weekly,"('news', 'weekly')",103,8.298182125729266,45.26181787427073,153.12031635788156
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,News + on-demand 80%,"('news', 'od80')",124,8.298182125729266,56.181817874270735,164.04031635788155
1-Step,100000,335,515,118.5454589389895,0.6461329583910761,107.85849848361082,News + 90%,"('news', 'split90')",124,17.189091546153477,47.29090845384653,155.14940693745734
