Plan,Size,N,Addon,Key,Live_pct,Sug_pct,List,Sale,Sticker,Net,Attach,Extra,Left,E_left,E_rev,Book_left,Book_rev,Sug_sticker,Sug_left,Sug_e_left,Sug_book_left,Challenge_left,E_used
1-Step,10000,14,News trading,news,0.15,0.15,92,60,14,9.1,0.22,0.2162079498312866,7.063792050168714,1.554034251037117,2.002,21.75647951451964,28.028,14,7.063792050168714,1.554034251037117,21.75647951451964,14.272074288513153,10.81039749156433
1-Step,10000,14,Weekend holding,weekend,0.18,0.18,92,60,17,11.05,0.16,0.4324158996625732,8.407584100337429,1.3452134560539886,1.7680000000000002,18.83298838475584,24.752000000000002,17,8.407584100337429,1.3452134560539886,18.83298838475584,14.272074288513153,10.81039749156433
1-Step,10000,14,Weekly 70% split,weekly,0.06,0.06,92,60,6,3.9000000000000004,0.1,0.5405198745782166,2.579480125421784,0.2579480125421784,0.39000000000000007,3.6112721755904977,5.460000000000001,6,2.579480125421784,0.2579480125421784,3.6112721755904977,14.272074288513153,10.81039749156433
1-Step,10000,14,On-demand 90% split,ondemand,0.2,0.2,92,60,18,11.700000000000001,0.12,1.3512996864455413,8.00870031355446,0.9610440376265351,1.4040000000000001,13.454616526771492,19.656000000000002,18,8.00870031355446,0.9610440376265351,13.454616526771492,14.272074288513153,10.81039749156433
1-Step,25000,18,News trading,news,0.15,0.15,185,120,28,18.2,0.22,0.5405198745782165,14.019480125421785,3.084285627592793,4.004,55.51714129667027,72.07199999999999,28,14.019480125421785,3.084285627592793,55.51714129667027,41.20314498769609,27.025993728910823
1-Step,25000,18,Weekend holding,weekend,0.18,0.18,185,120,33,21.45,0.16,1.081039749156433,16.07896025084357,2.572633640134971,3.432,46.30740552242948,61.775999999999996,33,16.07896025084357,2.572633640134971,46.30740552242948,41.20314498769609,27.025993728910823
1-Step,25000,18,Weekly 70% split,weekly,0.06,0.06,185,120,11,7.15,0.1,1.3512996864455413,4.368700313554459,0.43687003135544594,0.7150000000000001,7.863660564398027,12.870000000000001,11,4.368700313554459,0.43687003135544594,7.863660564398027,41.20314498769609,27.025993728910823
1-Step,25000,18,On-demand 90% split,ondemand,0.2,0.2,185,120,37,24.05,0.12,3.378249216113853,15.86175078388615,1.9034100940663379,2.886,34.26138169319408,51.948,37,15.86175078388615,1.9034100940663379,34.26138169319408,41.20314498769609,27.025993728910823
1-Step,50000,14,News trading,news,0.15,0.15,297,193,45,29.25,0.22,1.081039749156433,22.31896025084357,4.910171255185586,6.435,68.7423975725982,90.08999999999999,45,22.31896025084357,4.910171255185586,68.7423975725982,64.48826281966768,54.051987457821646
1-Step,50000,14,Weekend holding,weekend,0.18,0.18,297,193,53,34.45,0.16,2.162079498312866,25.397920501687135,4.063667280269942,5.5120000000000005,56.89134192377919,77.168,53,25.397920501687135,4.063667280269942,56.89134192377919,64.48826281966768,54.051987457821646
1-Step,50000,14,Weekly 70% split,weekly,0.06,0.06,297,193,18,11.700000000000001,0.1,2.7025993728910827,6.657400627108919,0.6657400627108919,1.1700000000000002,9.320360877952487,16.380000000000003,18,6.657400627108919,0.6657400627108919,9.320360877952487,64.48826281966768,54.051987457821646
1-Step,50000,14,On-demand 90% split,ondemand,0.2,0.2,297,193,59,38.35,0.12,6.756498432227706,23.9235015677723,2.870820188132676,4.602,40.19148263385746,64.428,59,23.9235015677723,2.870820188132676,40.19148263385746,64.48826281966768,54.051987457821646
1-Step,100000,10,News trading,news,0.15,0.15,515,335,77,50.050000000000004,0.22,2.1620794983128655,37.87792050168714,8.333142510371172,11.011000000000001,83.33142510371172,110.11000000000001,77,37.87792050168714,8.333142510371172,83.33142510371172,107.85849848361082,108.10397491564328
1-Step,100000,10,Weekend holding,weekend,0.18,0.18,515,335,93,60.45,0.16,4.324158996625731,44.03584100337427,7.045734560539884,9.672,70.45734560539884,96.72,93,44.03584100337427,7.045734560539884,70.45734560539884,107.85849848361082,108.10397491564328
1-Step,100000,10,Weekly 70% split,weekly,0.06,0.06,515,335,31,20.150000000000002,0.1,5.405198745782164,10.714801254217836,1.0714801254217836,2.015,10.714801254217836,20.150000000000002,31,10.714801254217836,1.0714801254217836,10.714801254217836,107.85849848361082,108.10397491564328
1-Step,100000,10,On-demand 90% split,ondemand,0.2,0.2,515,335,103,66.95,0.12,13.51299686445541,40.04700313554459,4.805640376265351,8.034,48.05640376265351,80.34,103,40.04700313554459,4.805640376265351,48.05640376265351,107.85849848361082,108.10397491564328
1-Step,200000,3,News trading,news,0.15,0.15,1006,654,151,98.15,0.22,4.324158996625731,74.19584100337428,16.323085020742344,21.593,48.969255062227035,64.779,151,74.19584100337428,16.323085020742344,48.969255062227035,222.59896981149717,216.20794983128656
1-Step,200000,3,Weekend holding,weekend,0.18,0.18,1006,654,181,117.65,0.16,8.648317993251462,85.47168200674854,13.675469121079766,18.824,41.0264073632393,56.47200000000001,181,85.47168200674854,13.675469121079766,41.0264073632393,222.59896981149717,216.20794983128656
1-Step,200000,3,Weekly 70% split,weekly,0.06,0.06,1006,654,60,39.0,0.1,10.810397491564329,20.389602508435672,2.038960250843567,3.9000000000000004,6.116880752530701,11.700000000000001,60,20.389602508435672,2.038960250843567,6.116880752530701,222.59896981149717,216.20794983128656
1-Step,200000,3,On-demand 90% split,ondemand,0.2,0.2,1006,654,201,130.65,0.12,27.02599372891082,77.49400627108919,9.299280752530702,15.678,27.897842257592107,47.034000000000006,201,77.49400627108919,9.299280752530702,27.897842257592107,222.59896981149717,216.20794983128656
2-Step Lite,5000,10,News trading,news,0.15,0.15,65,42,10,6.5,0.16,0.13600846658231291,5.0639915334176875,0.81023864534683,1.04,8.1023864534683,10.4,10,5.0639915334176875,0.81023864534683,8.1023864534683,2.1683995619355443,6.800423329115645
2-Step Lite,5000,10,Weekend holding,weekend,0.18,0.18,65,42,12,7.800000000000001,0.12,0.27201693316462583,5.967983066835375,0.716157968020245,0.936,7.1615796802024505,9.360000000000001,12,5.967983066835375,0.716157968020245,7.1615796802024505,2.1683995619355443,6.800423329115645
2-Step Lite,5000,10,Weekly 70% split,weekly,0.06,0.06,65,42,4,2.6,0.07,0.3400211664557823,1.739978833544218,0.12179851834809527,0.18200000000000002,1.2179851834809527,1.8200000000000003,4,1.739978833544218,0.12179851834809527,1.2179851834809527,2.1683995619355443,6.800423329115645
2-Step Lite,5000,10,On-demand 90% split,ondemand,0.2,0.2,65,42,13,8.450000000000001,0.08,0.8500529161394557,5.909947083860546,0.47279576670884366,0.676,4.727957667088437,6.760000000000001,13,5.909947083860546,0.47279576670884366,4.727957667088437,2.1683995619355443,6.800423329115645
2-Step Lite,10000,18,News trading,news,0.15,0.15,85,55,13,8.450000000000001,0.16,0.27201693316462583,6.487983066835376,1.0380772906936602,1.352,18.685391232485884,24.336000000000002,13,6.487983066835376,1.0380772906936602,18.685391232485884,3.6210678947878847,13.60084665823129
